election_id,cancellation_reason
local.fenland.doddington-wimblington.2019-05-02,EQUAL_CANDIDATES
local.pembrokeshire.milford-east.2022-05-05,EQUAL_CANDIDATES
local.powys.hay.2022-05-05,EQUAL_CANDIDATES
local.ryedale.ryedale-south-west.2019-05-02,EQUAL_CANDIDATES
local.east-hertfordshire.much-hadham.2019-05-02,EQUAL_CANDIDATES
local.west-devon.milton-ford.2023-05-04,EQUAL_CANDIDATES
local.west-lindsey.wold-view.2019-05-02,EQUAL_CANDIDATES
local.eden.hartside.2019-05-02,EQUAL_CANDIDATES
local.shropshire.much-wenlock.2017-05-04,EQUAL_CANDIDATES
local.conwy.caerhun.2017-05-04,EQUAL_CANDIDATES
local.gwynedd.penrhyndeudraeth.2022-05-05,EQUAL_CANDIDATES
local.ceredigion.trefeurig.2017-05-04,EQUAL_CANDIDATES
local.pembrokeshire.lampeter-velfrey.2017-05-04,EQUAL_CANDIDATES
local.pembrokeshire.milford-east.2017-05-04,EQUAL_CANDIDATES
local.maldon.tillingham.2023-05-04,EQUAL_CANDIDATES
local.carmarthenshire.llanddarog.2017-05-04,EQUAL_CANDIDATES
local.city-of-london.queenhithe.2022-03-24,EQUAL_CANDIDATES
local.city-of-london.broad-street.2017-03-23,EQUAL_CANDIDATES
local.wychavon.bretforton-and-offenham.2019-05-02,EQUAL_CANDIDATES
local.denbighshire.corwen.2017-05-04,EQUAL_CANDIDATES
local.south-holland.whaplode-and-holbeach-st-johns.2019-05-02,EQUAL_CANDIDATES
local.east-hampshire.horndean-catherington.2019-05-02,EQUAL_CANDIDATES
local.west-devon.hatherleigh.2019-05-02,EQUAL_CANDIDATES
local.conwy.llansannan.2017-05-04,EQUAL_CANDIDATES
local.tamworth.glascote.2018-05-03,UNDER_CONTESTED
local.east-lindsey.fulstow.2023-05-04,EQUAL_CANDIDATES
local.lichfield.longdon.2019-05-02,EQUAL_CANDIDATES
local.south-kesteven.aveland.2019-05-02,EQUAL_CANDIDATES
local.city-of-london.bridge.by.2018-07-12,EQUAL_CANDIDATES
local.rushcliffe.thoroton.2019-05-02,EQUAL_CANDIDATES
local.city-of-london-alder.farringdon-without.2022-12-08,EQUAL_CANDIDATES
local.lichfield.bourne-vale.2019-05-02,EQUAL_CANDIDATES
local.gwynedd.teigl.2017-05-04,EQUAL_CANDIDATES
local.gwynedd.trawsfynydd.2022-05-05,EQUAL_CANDIDATES
local.powys.llanafanfawr.2017-05-04,EQUAL_CANDIDATES
local.wigan.bryn.2018-02-22,
local.ceredigion.llandysilio-gogo.2017-05-04,EQUAL_CANDIDATES
local.flintshire.ffynnongroyw.2017-05-04,EQUAL_CANDIDATES
local.powys.machynlleth.2017-05-04,EQUAL_CANDIDATES
local.flintshire.holywell-central.2017-05-04,EQUAL_CANDIDATES
local.pembrokeshire.haverfordwest-priory.2022-05-05,EQUAL_CANDIDATES
local.rushmoor.aldershot-park.2016-05-05,UNDER_CONTESTED
local.pembrokeshire.neyland-west.2022-05-05,EQUAL_CANDIDATES
local.sevenoaks.penshurst-fordcombe-and-chiddingstone.2019-05-02,EQUAL_CANDIDATES
local.north-kesteven.billinghay-martin-and-north-kyme.2019-05-02,UNDER_CONTESTED
local.powys.churchstoke.2017-05-04,EQUAL_CANDIDATES
local.east-lindsey.coningsby-mareham.2019-05-02,EQUAL_CANDIDATES
local.ceredigion.llanfarian.2017-05-04,EQUAL_CANDIDATES
local.pembrokeshire.narberth-rural.2022-05-05,EQUAL_CANDIDATES
local.kings-lynn-and-west-norfolk.gaywood-clock.by.2022-12-01,EQUAL_CANDIDATES
local.kings-lynn-and-west-norfolk.watlington.2023-05-04,EQUAL_CANDIDATES
local.city-of-london.bread-street.by.2018-08-30,EQUAL_CANDIDATES
local.south-oxfordshire.haseley-brook.by.2017-10-19,EQUAL_CANDIDATES
local.herefordshire.ross-north.2019-05-02,CANDIDATE_DEATH
local.ribble-valley.bowland.2023-05-04,EQUAL_CANDIDATES
local.fenland.stonald.2019-05-02,EQUAL_CANDIDATES
local.powys.aber-craf.2017-05-04,EQUAL_CANDIDATES
local.shetland-islands.north-isles.2022-05-05,UNDER_CONTESTED
local.wrexham.esclusham.2022-05-05,EQUAL_CANDIDATES
local.west-suffolk.pakenham-troston.2019-05-02,EQUAL_CANDIDATES
local.bassetlaw.east-markham.2019-05-02,EQUAL_CANDIDATES
local.pembrokeshire.neyland-east.2022-05-05,EQUAL_CANDIDATES
